IMDB,Name,Runtime (mins),Genre,Rating,Votes,Description,Stars,Release_year,End_year,Episodes
0460627,Bones,40.0,"Comedy, Crime, Drama            ",7.8,139435,"    Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.","Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne",2005,2017,245
2261391,Chicago Fire,43.0,"Action, Drama            ",7.9,38232,"    The story of firefighters in Chicago, both on a personal and professional level","Jesse Spencer, Taylor Kinney, Christian Stolte, Eamonn Walker",2012, ,187
2805096,Chicago P.D.,43.0,"Action, Crime, Drama            ",8.1,28218,"    Follows District 21 of the Chicago Police Department, which is made up of two distinctly different groups: the uniformed cops and the Intelligence Unit.","Jason Beghe, Jesse Lee Soffer, Patrick John Flueger, Marina Squerciati",2014, ,156
10327354,Prodigal Son,44.0,"Crime, Drama, Mystery            ",7.7,12396,"    Malcolm Bright, one of the best criminal psychologists around, uses his twisted genius to help the NYPD solve crimes.","Tom Payne, Lou Diamond Phillips, Halston Sage, Aurora Perrineau",2019, ,26
7555294,L.A.'s Finest,60.0,"Action, Comedy, Crime            ",5.9,4119,"    The spinoff series of Bad Boys films focuses on drug enforcement agent Sydney Burnett, now working for the Los Angeles Police Department.","Jessica Alba, Gabrielle Union, Duane Martin, Zach Gilford",2019,2020,26
0412142,House M.D.,44.0,"Drama, Mystery            ",8.7,413738,    An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer",2004,2012,176
5212822,Imposters,41.0,"Comedy, Crime, Drama            ",7.8,10509,    A dark comedy that focuses on a female con artist who marries people and then disappears with their money.,"Inbar Lavi, Rob Heaps, Parker Young, Marianne Rendón",2017, ,20
1600194,Hawaii Five-0,42.0,"Action, Crime, Drama            ",7.3,66705,    Steve McGarrett returns home to Oahu in order to find his father's killer; The Governor offers him the chance to run his own task force - Five-0.,"Alex O'Loughlin, Scott Caan, Taylor Wily, Daniel Dae Kim",2010,2020,240
1475582,Sherlock,88.0,"Crime, Drama, Mystery            ",9.1,804573,    A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves",2010,2017,15
3107288,The Flash,43.0,"Action, Adventure, Drama            ",7.7,304700,"    After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes",2014, ,138
